Interval Timestamp,Daily Reading
14112024 00:00:00, 
14112024 01:00:00, 
14112024 02:00:00, 
14112024 03:00:00, 
14112024 04:00:00, 
14112024 05:00:00, 
14112024 06:00:00, 
14112024 07:00:00, 
14112024 08:00:00, 
14112024 09:00:00, 
14112024 10:00:00, 
14112024 11:00:00, 
14112024 12:00:00, 
14112024 13:00:00, 
14112024 14:00:00, 
14112024 15:00:00, 
14112024 16:00:00, 
14112024 17:00:00, 
14112024 18:00:00, 
14112024 19:00:00, 
14112024 20:00:00, 
14112024 21:00:00, 
14112024 22:00:00, 
14112024 23:00:00, 
14112024 00:00:00,163.63
15112024 00:00:00, 
15112024 01:00:00, 
15112024 02:00:00, 
15112024 03:00:00, 
15112024 04:00:00, 
15112024 05:00:00, 
15112024 06:00:00, 
15112024 07:00:00, 
15112024 08:00:00, 
15112024 09:00:00, 
15112024 10:00:00, 
15112024 11:00:00, 
15112024 12:00:00, 
15112024 13:00:00, 
15112024 14:00:00, 
15112024 15:00:00, 
15112024 16:00:00, 
15112024 17:00:00, 
15112024 18:00:00, 
15112024 19:00:00, 
15112024 20:00:00, 
15112024 21:00:00, 
15112024 22:00:00, 
15112024 23:00:00, 
15112024 00:00:00,164.37
16112024 00:00:00, 
16112024 01:00:00, 
16112024 02:00:00, 
16112024 03:00:00, 
16112024 04:00:00, 
16112024 05:00:00, 
16112024 06:00:00, 
16112024 07:00:00, 
16112024 08:00:00, 
16112024 09:00:00, 
16112024 10:00:00, 
16112024 11:00:00, 
16112024 12:00:00, 
16112024 13:00:00, 
16112024 14:00:00, 
16112024 15:00:00, 
16112024 16:00:00, 
16112024 17:00:00, 
16112024 18:00:00, 
16112024 19:00:00, 
16112024 20:00:00, 
16112024 21:00:00, 
16112024 22:00:00, 
16112024 23:00:00, 
16112024 00:00:00,165.15
17112024 00:00:00, 
17112024 01:00:00, 
17112024 02:00:00, 
17112024 03:00:00, 
17112024 04:00:00, 
17112024 05:00:00, 
17112024 06:00:00, 
17112024 07:00:00, 
17112024 08:00:00, 
17112024 09:00:00, 
17112024 10:00:00, 
17112024 11:00:00, 
17112024 12:00:00, 
17112024 13:00:00, 
17112024 14:00:00, 
17112024 15:00:00, 
17112024 16:00:00, 
17112024 17:00:00, 
17112024 18:00:00, 
17112024 19:00:00, 
17112024 20:00:00, 
17112024 21:00:00, 
17112024 22:00:00, 
17112024 23:00:00, 
17112024 00:00:00,165.15
18112024 00:00:00, 
18112024 01:00:00, 
18112024 02:00:00, 
18112024 03:00:00, 
18112024 04:00:00, 
18112024 05:00:00, 
18112024 06:00:00, 
18112024 07:00:00, 
18112024 08:00:00, 
18112024 09:00:00, 
18112024 10:00:00, 
18112024 11:00:00, 
18112024 12:00:00, 
18112024 13:00:00, 
18112024 14:00:00, 
18112024 15:00:00, 
18112024 16:00:00, 
18112024 17:00:00, 
18112024 18:00:00, 
18112024 19:00:00, 
18112024 20:00:00, 
18112024 21:00:00, 
18112024 22:00:00, 
18112024 23:00:00, 
18112024 00:00:00,165.15
19112024 00:00:00, 
19112024 01:00:00, 
19112024 02:00:00, 
19112024 03:00:00, 
19112024 04:00:00, 
19112024 05:00:00, 
19112024 06:00:00, 
19112024 07:00:00, 
19112024 08:00:00, 
19112024 09:00:00, 
19112024 10:00:00, 
19112024 11:00:00, 
19112024 12:00:00, 
19112024 13:00:00, 
19112024 14:00:00, 
19112024 15:00:00, 
19112024 16:00:00, 
19112024 17:00:00, 
19112024 18:00:00, 
19112024 19:00:00, 
19112024 20:00:00, 
19112024 21:00:00, 
19112024 22:00:00, 
19112024 23:00:00, 
19112024 00:00:00,165.82
20112024 00:00:00, 
20112024 01:00:00, 
20112024 02:00:00, 
20112024 03:00:00, 
20112024 04:00:00, 
20112024 05:00:00, 
20112024 06:00:00, 
20112024 07:00:00, 
20112024 08:00:00, 
20112024 09:00:00, 
20112024 10:00:00, 
20112024 11:00:00, 
20112024 12:00:00, 
20112024 13:00:00, 
20112024 14:00:00, 
20112024 15:00:00, 
20112024 16:00:00, 
20112024 17:00:00, 
20112024 18:00:00, 
20112024 19:00:00, 
20112024 20:00:00, 
20112024 21:00:00, 
20112024 22:00:00, 
20112024 23:00:00, 
20112024 00:00:00,166.59
21112024 00:00:00, 
21112024 01:00:00, 
21112024 02:00:00, 
21112024 03:00:00, 
21112024 04:00:00, 
21112024 05:00:00, 
21112024 06:00:00, 
21112024 07:00:00, 
21112024 08:00:00, 
21112024 09:00:00, 
21112024 10:00:00, 
21112024 11:00:00, 
21112024 12:00:00, 
21112024 13:00:00, 
21112024 14:00:00, 
21112024 15:00:00, 
21112024 16:00:00, 
21112024 17:00:00, 
21112024 18:00:00, 
21112024 19:00:00, 
21112024 20:00:00, 
21112024 21:00:00, 
21112024 22:00:00, 
21112024 23:00:00, 
21112024 00:00:00,168.03
